Gender,Married,Income,LoanAmount,CreditScore,Dependents,Education,Loan_Status
1,1,50000,200,750,0,1,1
0,1,30000,150,650,2,0,0
1,0,40000,180,700,1,1,1
1,1,60000,250,800,3,1,1
0,0,20000,100,600,0,0,0
1,1,45000,170,720,2,1,1
0,1,35000,140,680,1,0,0
1,1,70000,300,820,2,1,1
0,0,25000,120,610,0,0,0
1,1,52000,210,740,1,1,1
1,0,48000,190,710,0,1,1
0,1,33000,160,670,3,0,0
1,1,80000,320,830,2,1,1
0,0,22000,110,590,1,0,0
1,1,61000,260,790,2,1,1
0,1,37000,150,660,2,0,0
1,0,42000,180,705,1,1,1
1,1,55000,230,760,3,1,1
0,0,28000,130,620,0,0,0
1,1,68000,290,810,2,1,1
1,0,47000,200,730,1,1,1
0,1,36000,140,675,2,0,0
1,1,75000,310,825,3,1,1
0,0,24000,115,605,1,0,0
1,1,53000,220,745,2,1,1
1,0,46000,195,715,0,1,1
0,1,34000,155,665,3,0,0
1,1,72000,305,815,2,1,1
0,0,21000,105,580,0,0,0
1,1,64000,270,800,1,1,1
1,0,49000,210,735,1,1,1
0,1,31000,145,655,2,0,0
1,1,82000,330,840,3,1,1
0,0,23000,120,600,0,0,0
1,1,59000,250,780,2,1,1
0,1,38000,160,690,2,0,0
1,0,41000,175,700,1,1,1
1,1,66000,280,805,3,1,1
0,0,26000,125,615,0,0,0
1,1,54000,225,750,2,1,1
1,0,45000,185,720,1,1,1
0,1,32000,150,660,2,0,0
1,1,77000,315,830,3,1,1
0,0,20000,100,570,0,0,0
1,1,60000,260,790,2,1,1
0,1,35000,145,670,1,0,0
1,0,43000,180,710,1,1,1
1,1,69000,295,820,2,1,1
0,0,27000,130,620,0,0,0
1,1,58000,240,770,2,1,1
1,0,47000,195,715,1,1,1
